epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19161,4.16917,5.91609,4.20204,0,0,0,0,2.18271,5.16156,4.15854,1.25e-05,1.25e-05,1.25e-05
2,7.8513,3.2359,5.12396,4.24474,0,0,0,0,2.18272,5.16128,4.15808,3.62625e-05,3.62625e-05,3.62625e-05
3,11.1582,4.4238,5.88703,4.23513,0,0,0,0,2.18271,5.16224,4.15755,5.8375e-05,5.8375e-05,5.8375e-05
4,14.0632,3.83801,6.16363,4.28473,0,0,0,0,2.18269,5.162,4.15692,7.88375e-05,7.88375e-05,7.88375e-05
5,16.5698,3.48836,5.39794,4.19531,0,0,0,0,2.18266,5.16222,4.15612,9.765e-05,9.765e-05,9.765e-05
6,19.0369,3.63816,5.81009,4.28342,0,0,0,0,2.1826,5.16258,4.1551,0.000114813,0.000114813,0.000114813
7,21.6802,3.57307,5.4346,4.18626,0,0,0,0,2.18252,5.1623,4.15382,0.000130325,0.000130325,0.000130325
8,24.1761,4.11995,5.29997,4.28403,0,0,0,0,2.18243,5.16222,4.15237,0.000144187,0.000144187,0.000144187
9,26.664,3.82196,5.57603,4.29361,0,0,0,0,2.18239,5.16185,4.15159,0.0001564,0.0001564,0.0001564
10,29.3338,3.10223,5.35279,4.21936,0,0,0,0,2.18233,5.16233,4.15019,0.000166962,0.000166962,0.000166962
11,31.7155,4.07085,5.7885,4.26329,0,0,0,0,2.18227,5.16294,4.1486,0.000175875,0.000175875,0.000175875
12,34.1535,3.60782,5.3779,4.16432,0,0,0,0,2.1822,5.16356,4.14698,0.000183137,0.000183137,0.000183137
13,36.7465,3.70941,5.05977,4.19484,0,0,0,0,2.18215,5.16346,4.14501,0.00018875,0.00018875,0.00018875
14,39.395,4.30956,5.24974,4.19809,0,0,0,0,2.18209,5.16366,4.1432,0.000192713,0.000192713,0.000192713
15,41.8814,3.73715,5.21493,4.17496,0,0,0,0,2.182,5.16382,4.14125,0.000195025,0.000195025,0.000195025
16,44.6412,3.94417,5.46587,4.17974,0,0,0,0,2.18187,5.16363,4.13921,0.000195688,0.000195688,0.000195688
17,47.2607,4.41102,5.6697,4.26929,0,0,0,0,2.18169,5.16289,4.13718,0.0001947,0.0001947,0.0001947
18,49.7214,3.35264,5.05612,4.14385,0,0,0,0,2.18147,5.1624,4.13492,0.000192062,0.000192062,0.000192062
19,52.2857,3.94056,5.25491,4.15002,0,0,0,0,2.18122,5.16257,4.13282,0.000187775,0.000187775,0.000187775
20,54.7004,2.73271,5.37872,4.18048,0,0,0,0,2.18089,5.16183,4.13058,0.000181838,0.000181838,0.000181838
21,57.1255,3.14678,6.05394,4.15398,0,0,0,0,2.18058,5.16163,4.12842,0.00017425,0.00017425,0.00017425
22,59.7546,2.77067,5.82183,4.16609,0,0,0,0,2.18024,5.16118,4.12633,0.000165013,0.000165013,0.000165013
23,62.2561,3.65401,5.98352,4.21838,0,0,0,0,2.1799,5.16065,4.12422,0.000154125,0.000154125,0.000154125
24,64.8837,2.88293,5.60869,4.21056,0,0,0,0,2.17958,5.1593,4.12203,0.000141587,0.000141587,0.000141587
25,67.409,2.69741,5.74433,4.20853,0,0,0,0,2.17927,5.15909,4.11991,0.0001274,0.0001274,0.0001274
26,69.9723,3.19296,5.85068,4.1641,0,0,0,0,2.17915,5.1592,4.118,0.000111562,0.000111562,0.000111562
27,72.5916,3.23917,5.70711,4.15342,0,0,0,0,2.17907,5.16006,4.11502,9.4075e-05,9.4075e-05,9.4075e-05
28,75.0084,3.23199,5.89241,4.1505,0,0,0,0,2.17907,5.16006,4.11502,7.49375e-05,7.49375e-05,7.49375e-05
29,77.4853,3.29445,5.73921,4.29533,0,0,0,0,2.17902,5.16046,4.11283,5.415e-05,5.415e-05,5.415e-05
30,80.0568,3.44011,5.68239,4.22442,0,0,0,0,2.17897,5.16183,4.11036,3.17125e-05,3.17125e-05,3.17125e-05
