                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2372,                 4.4948,                 4.2852,                0.00794,                0.16667,                0.03869,                0.01085,                 2.8989,                 4.1441,                 4.1589,                      0,                      0,                      0
                      2,                 3.5837,                 4.6048,                 4.2273,                0.00794,                0.16667,                0.03502,                0.01012,                 2.8982,                 4.1441,                 4.1589,             7.4437e-06,             7.4437e-06,             7.4437e-06
                      3,                 3.6838,                 4.8263,                 4.2268,                0.00813,                0.16667,                0.03507,                0.01018,                 2.8975,                 4.1443,                 4.1588,             7.5548e-06,             7.5548e-06,             7.5548e-06
