                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2199,                 4.5078,                 4.3471,                0.00233,                    0.1,                 0.0058,                 0.0029,                 3.2729,                 4.4013,                 4.1589,                      0,                      0,                      0
                      2,                 3.7174,                 4.5588,                 4.2862,                0.00256,                    0.1,                 0.0056,                 0.0028,                 3.2721,                 4.4009,                  4.159,             7.4437e-06,             7.4437e-06,             7.4437e-06
                      3,                 3.4184,                 4.5326,                 4.2245,                0.00244,                    0.1,                0.00557,                0.00279,                 3.2713,                  4.401,                  4.159,             7.5548e-06,             7.5548e-06,             7.5548e-06
