                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4843,                 4.5337,                 4.2333,                0.00813,                0.16667,                0.02957,                0.00905,                 2.8989,                 4.1441,                 4.1589,                      0,                      0,                      0
                      2,                 3.3573,                 4.5747,                 4.2902,                0.00813,                0.16667,                0.03874,                  0.011,                 2.8983,                 4.1441,                 4.1589,             7.4437e-06,             7.4437e-06,             7.4437e-06
                      3,                 3.4857,                 4.7489,                 4.2059,                0.00813,                0.16667,                0.03507,                0.01018,                 2.8976,                 4.1443,                 4.1588,             7.5548e-06,             7.5548e-06,             7.5548e-06
